2023-11-21 20:05:32|[http-nio-8087-exec-2]|INFO |com.harshi_solution.inventorymate.controllers.ProductController-Displaying product details for product with ID: 1
2023-11-21 20:05:36|[http-nio-8087-exec-1]|INFO |com.harshi_solution.inventorymate.controllers.DashboardController-Redirecting to landing.html
2023-11-21 20:05:40|[http-nio-8087-exec-5]|INFO |com.harshi_solution.inventorymate.controllers.WarehouseController-Inside showWarehouseList() on WarehouseController
2023-11-21 20:05:45|[http-nio-8087-exec-3]|INFO |com.harshi_solution.inventorymate.controllers.DashboardController-Redirecting to landing.html
2023-11-21 20:05:46|[http-nio-8087-exec-4]|INFO |com.harshi_solution.inventorymate.controllers.RepsController-Displaying the list of representatives
2023-11-21 20:05:48|[http-nio-8087-exec-7]|INFO |com.harshi_solution.inventorymate.controllers.DashboardController-Redirecting to landing.html
2023-11-21 20:05:49|[http-nio-8087-exec-6]|INFO |com.harshi_solution.inventorymate.controllers.PartyController-Displaying the party list
2023-11-21 20:05:51|[http-nio-8087-exec-9]|INFO |com.harshi_solution.inventorymate.controllers.DashboardController-Redirecting to landing.html
2023-11-21 20:05:53|[http-nio-8087-exec-10]|INFO |com.harshi_solution.inventorymate.controllers.TransportController-Displaying the list of transports
2023-11-21 20:05:54|[http-nio-8087-exec-8]|INFO |com.harshi_solution.inventorymate.controllers.TransportController-Displaying transport details for transport with ID: 1
2023-11-21 20:05:56|[http-nio-8087-exec-2]|INFO |com.harshi_solution.inventorymate.controllers.DashboardController-Redirecting to landing.html
2023-11-21 20:05:57|[http-nio-8087-exec-1]|INFO |com.harshi_solution.inventorymate.controllers.PartyController-Displaying the party list
2023-11-21 20:05:59|[http-nio-8087-exec-5]|INFO |com.harshi_solution.inventorymate.controllers.PartyController-Displaying party details for party with ID: 1
2023-11-21 20:06:55|[http-nio-8087-exec-4]|INFO |com.harshi_solution.inventorymate.controllers.OrderController-Displaying order details for order with ID: 1
2023-11-21 20:07:00|[http-nio-8087-exec-7]|INFO |com.harshi_solution.inventorymate.controllers.DashboardController-Redirecting to landing.html
